##Temp./›C,Time/min,DSC/(uV/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
40.012,0,-6.92E-03,100,0.00E+00,70,6.19821,1
40.512,0.68263,-2.15E-02,100,0.00E+00,70,-9.20E-02,1
41.012,0.89359,-2.63E-02,99.94145,0.00E+00,70,-0.35113,1
41.512,1.04822,-3.27E-02,99.8664,0.00E+00,70,-0.42455,1
42.012,1.17673,-3.64E-02,99.8049,0.00E+00,70,-0.43844,1
42.512,1.28923,-4.05E-02,99.73859,0.00E+00,70,-0.42147,1
43.012,1.39131,-4.32E-02,99.69722,0.00E+00,70,-0.39193,1
43.512,1.48599,-4.58E-02,99.67462,0.00E+00,70,-0.3614,1
44.012,1.57478,-4.63E-02,99.65093,0.00E+00,70,-0.33534,1
44.512,1.65918,-4.80E-02,99.60932,0.00E+00,70,-0.31497,1
45.012,1.74024,-4.84E-02,99.59054,0.00E+00,70,-0.29981,1
45.512,1.81872,-5.01E-02,99.57032,0.00E+00,70,-0.28886,1
46.012,1.89488,-4.80E-02,99.54976,0.00E+00,70,-0.2809,1
46.512,1.9693,-4.91E-02,99.54041,0.00E+00,70,-0.27449,1
47.012,2.04232,-4.89E-02,99.50732,0.00E+00,70,-0.2682,1
47.512,2.11404,-4.80E-02,99.48504,0.00E+00,70,-0.26104,1
48.012,2.18447,-4.75E-02,99.47153,0.00E+00,70,-0.25266,1
48.512,2.25354,-4.89E-02,99.4475,0.00E+00,70,-0.2434,1
49.012,2.32141,-4.69E-02,99.44337,0.00E+00,70,-0.23405,1
49.512,2.38828,-4.74E-02,99.42154,0.00E+00,70,-0.22551,1
50.012,2.45435,-4.65E-02,99.40268,0.00E+00,70,-0.21858,1
50.512,2.51966,-4.69E-02,99.39244,0.00E+00,70,-0.21366,1
51.012,2.58426,-4.64E-02,99.38355,0.00E+00,70,-0.21064,1
51.512,2.64812,-4.59E-02,99.37529,0.00E+00,70,-0.20888,1
52.012,2.71141,-4.64E-02,99.36602,0.00E+00,70,-0.20731,1
52.512,2.77408,-4.63E-02,99.34368,0.00E+00,70,-0.20481,1
53.012,2.83617,-4.73E-02,99.32302,0.00E+00,70,-0.20048,1
53.512,2.89758,-4.72E-02,99.31345,0.00E+00,70,-0.19388,1
54.012,2.95839,-4.76E-02,99.30132,0.00E+00,70,-0.18512,1
54.512,3.01848,-4.83E-02,99.28992,0.00E+00,70,-0.17476,1
55.012,3.07795,-4.90E-02,99.283,0.00E+00,70,-0.16361,1
55.512,3.13678,-5.00E-02,99.27414,0.00E+00,70,-0.15253,1
56.012,3.19486,-5.12E-02,99.25715,0.00E+00,70,-0.14238,1
56.512,3.25219,-5.30E-02,99.25101,0.00E+00,70,-0.13378,1
57.012,3.30885,-5.42E-02,99.25579,0.00E+00,70,-0.12718,1
57.512,3.3648,-5.49E-02,99.24864,0.00E+00,70,-0.12286,1
58.012,3.42017,-5.60E-02,99.24032,0.00E+00,70,-0.12093,1
58.512,3.47501,-5.75E-02,99.23293,0.00E+00,70,-0.1214,1
59.012,3.52918,-5.87E-02,99.2253,0.00E+00,70,-0.12416,1
59.512,3.58271,-6.08E-02,99.21936,0.00E+00,70,-0.12894,1
60.012,3.63562,-6.22E-02,99.21789,0.00E+00,70,-0.13533,1
60.512,3.68795,-6.41E-02,99.21396,0.00E+00,70,-0.14278,1
61.012,3.73985,-6.47E-02,99.20644,0.00E+00,70,-0.15061,1
61.512,3.79141,-6.77E-02,99.19897,0.00E+00,70,-0.1581,1
62.012,3.84253,-6.88E-02,99.18814,0.00E+00,70,-0.16448,1
62.512,3.8933,-7.15E-02,99.17561,0.00E+00,70,-0.16918,1
63.012,3.9436,-7.23E-02,99.1629,0.00E+00,70,-0.1718,1
63.512,3.99335,-7.56E-02,99.15379,0.00E+00,70,-0.17222,1
64.012,4.04277,-7.71E-02,99.14568,0.00E+00,70,-0.17055,1
64.512,4.09188,-7.79E-02,99.13268,0.00E+00,70,-0.1671,1
65.012,4.14056,-8.04E-02,99.12173,0.00E+00,70,-0.16226,1
65.512,4.1889,-8.27E-02,99.11838,0.00E+00,70,-0.15649,1
66.012,4.23693,-8.34E-02,99.11564,0.00E+00,70,-0.15021,1
66.512,4.2846,-8.49E-02,99.1095,0.00E+00,70,-0.14384,1
67.012,4.3319,-8.72E-02,99.10065,0.00E+00,70,-0.13776,1
67.512,4.37896,-8.99E-02,99.091,0.00E+00,70,-0.13231,1
68.012,4.42583,-9.15E-02,99.08267,0.00E+00,70,-0.12785,1
68.512,4.47248,-9.21E-02,99.07754,0.00E+00,70,-0.12473,1
69.012,4.51888,-9.46E-02,99.07467,0.00E+00,70,-0.12326,1
69.512,4.56503,-9.74E-02,99.07035,0.00E+00,70,-0.12368,1
70.012,4.61098,-9.80E-02,99.06925,0.00E+00,70,-0.12611,1
70.512,4.65662,-9.97E-02,99.07317,0.00E+00,70,-0.13054,1
71.012,4.70204,-0.10231,99.06403,0.00E+00,70,-0.13682,1
71.512,4.74725,-0.10391,99.05149,0.00E+00,70,-0.14472,1
72.012,4.7923,-0.10625,99.04757,0.00E+00,70,-0.1539,1
72.512,4.83713,-0.10911,99.0441,0.00E+00,70,-0.16397,1
73.012,4.88183,-0.10981,99.0363,0.00E+00,70,-0.17458,1
73.512,4.92639,-0.11072,99.0265,0.00E+00,70,-0.18537,1
74.012,4.97077,-0.11346,99.01646,0.00E+00,70,-0.19602,1
74.512,5.01498,-0.11556,99.0069,0.00E+00,70,-0.20626,1
75.012,5.05906,-0.11697,98.99835,0.00E+00,70,-0.21587,1
75.512,5.10301,-0.11981,98.98947,0.00E+00,70,-0.22465,1
76.012,5.14678,-0.1217,98.97859,0.00E+00,70,-0.23239,1
76.512,5.19044,-0.1235,98.9666,0.00E+00,70,-0.2389,1
77.012,5.23403,-0.12533,98.95561,0.00E+00,70,-0.24397,1
77.512,5.27753,-0.12712,98.94438,0.00E+00,70,-0.24739,1
78.012,5.32097,-0.12904,98.93173,0.00E+00,70,-0.24896,1
78.512,5.36433,-0.13179,98.91904,0.00E+00,70,-0.2485,1
79.012,5.40762,-0.135,98.90743,0.00E+00,70,-0.24592,1
79.512,5.45078,-0.13721,98.89815,0.00E+00,70,-0.24124,1
80.012,5.49381,-0.13968,98.89071,0.00E+00,70,-0.23458,1
80.512,5.53667,-0.14276,98.86675,0.00E+00,70,-0.22623,1
81.012,5.57937,-0.14504,98.85244,0.00E+00,70,-0.21659,1
81.512,5.62195,-0.14783,98.84552,0.00E+00,70,-0.20615,1
82.012,5.66444,-0.15094,98.83828,0.00E+00,70,-0.19547,1
82.512,5.70688,-0.1532,98.83561,0.00E+00,70,-0.18509,1
83.012,5.74927,-0.15615,98.83008,0.00E+00,70,-0.17553,1
83.512,5.79168,-0.15949,98.82365,0.00E+00,70,-0.16722,1
84.012,5.83401,-0.16302,98.81842,0.00E+00,70,-0.16048,1
84.512,5.87625,-0.16518,98.8122,0.00E+00,70,-0.15544,1
85.012,5.9184,-0.16759,98.8072,0.00E+00,70,-0.15212,1
85.512,5.96041,-0.17181,98.80431,0.00E+00,70,-0.15037,1
86.012,6.0023,-0.17602,98.7999,0.00E+00,70,-0.14999,1
86.512,6.04397,-0.17905,98.79476,0.00E+00,70,-0.1507,1
87.012,6.08561,-0.18163,98.78845,0.00E+00,70,-0.15222,1
87.512,6.12718,-0.18574,98.77757,0.00E+00,70,-0.1543,1
88.012,6.16868,-0.18929,98.76853,0.00E+00,70,-0.15673,1
88.512,6.21012,-0.19202,98.76438,0.00E+00,70,-0.15932,1
89.012,6.2515,-0.19612,98.75897,0.00E+00,70,-0.16193,1
89.512,6.29293,-0.19921,98.75187,0.00E+00,70,-0.16442,1
90.012,6.33427,-0.20317,98.74363,0.00E+00,70,-0.16664,1
90.512,6.37554,-0.20723,98.73622,0.00E+00,70,-0.16842,1
91.012,6.41677,-0.21102,98.73172,0.00E+00,70,-0.16957,1
91.512,6.45796,-0.21522,98.72868,0.00E+00,70,-0.16989,1
92.012,6.49917,-0.21932,98.72214,0.00E+00,70,-0.1692,1
92.512,6.54034,-0.22229,98.71074,0.00E+00,70,-0.16739,1
93.012,6.58148,-0.22634,98.70222,0.00E+00,70,-0.16443,1
93.512,6.62262,-0.2303,98.69176,0.00E+00,70,-0.16041,1
94.012,6.66376,-0.23401,98.67745,0.00E+00,70,-0.15557,1
94.512,6.70489,-0.23848,98.66639,0.00E+00,70,-0.15026,1
95.012,6.74596,-0.24275,98.66248,0.00E+00,70,-0.14488,1
95.512,6.78699,-0.24701,98.66218,0.00E+00,70,-0.13989,1
96.012,6.82803,-0.25084,98.66265,0.00E+00,70,-0.13565,1
96.512,6.8691,-0.25525,98.66141,0.00E+00,70,-0.13247,1
97.012,6.91017,-0.25992,98.65743,0.00E+00,70,-0.1305,1
97.512,6.95121,-0.26375,98.65228,0.00E+00,70,-0.12974,1
98.012,6.99225,-0.26837,98.64818,0.00E+00,70,-0.13004,1
98.512,7.03328,-0.27248,98.64379,0.00E+00,70,-0.13115,1
99.012,7.0743,-0.27682,98.63646,0.00E+00,70,-0.13273,1
99.512,7.11527,-0.28089,98.62883,0.00E+00,70,-0.13441,1
100.012,7.1562,-0.28427,98.62288,0.00E+00,70,-0.13585,1
100.512,7.19711,-0.28843,98.61567,0.00E+00,70,-0.13674,1
101.012,7.23806,-0.29265,98.60928,0.00E+00,70,-0.13686,1
101.512,7.27909,-0.29727,98.60428,0.00E+00,70,-0.13602,1
102.012,7.32014,-0.30138,98.5982,0.00E+00,70,-0.13413,1
102.512,7.36117,-0.30505,98.59094,0.00E+00,70,-0.13113,1
103.012,7.40223,-0.30933,98.5851,0.00E+00,70,-0.12698,1
103.512,7.44336,-0.31353,98.58015,0.00E+00,70,-0.12167,1
104.012,7.48447,-0.3178,98.57305,0.00E+00,70,-0.11521,1
104.512,7.52555,-0.32162,98.56742,0.00E+00,70,-0.1076,1
105.012,7.56666,-0.32511,98.56445,0.00E+00,70,-9.89E-02,1
105.512,7.60782,-0.3286,98.56088,0.00E+00,70,-8.91E-02,1
106.012,7.64907,-0.33222,98.55567,0.00E+00,70,-7.83E-02,1
106.512,7.69033,-0.33654,98.55255,0.00E+00,70,-6.68E-02,1
107.012,7.73161,-0.34025,98.54884,0.00E+00,70,-5.48E-02,1
107.512,7.7729,-0.34319,98.54457,0.00E+00,70,-4.28E-02,1
108.012,7.8142,-0.34724,98.54054,0.00E+00,70,-3.12E-02,1
108.512,7.85548,-0.35204,98.53811,0.00E+00,70,-2.07E-02,1
109.012,7.89671,-0.35481,98.53828,0.00E+00,70,-1.17E-02,1
109.512,7.93791,-0.35838,98.53704,0.00E+00,70,-4.66E-03,1
110.012,7.97916,-0.36246,98.54585,0.00E+00,70,-2.27E-05,1
110.512,8.02046,-0.36621,98.55515,0.00E+00,70,2.10E-03,1
111.012,8.0618,-0.36947,98.55725,0.00E+00,70,1.78E-03,1
111.512,8.10322,-0.37276,98.56106,0.00E+00,70,-6.78E-04,1
112.012,8.14466,-0.37671,98.56774,0.00E+00,70,-4.75E-03,1
112.512,8.18618,-0.38024,98.56422,0.00E+00,70,-9.79E-03,1
113.012,8.22772,-0.3838,98.55788,0.00E+00,70,-1.50E-02,1
113.512,8.26932,-0.38787,98.5539,0.00E+00,70,-1.98E-02,1
114.012,8.31097,-0.39161,98.5513,0.00E+00,70,-2.35E-02,1
114.512,8.35265,-0.39444,98.5492,0.00E+00,70,-2.56E-02,1
115.012,8.39443,-0.39787,98.54516,0.00E+00,70,-2.61E-02,1
115.512,8.43631,-0.40241,98.53875,0.00E+00,70,-2.49E-02,1
116.012,8.47825,-0.40574,98.53488,0.00E+00,70,-2.23E-02,1
116.512,8.52019,-0.40876,98.53467,0.00E+00,70,-1.86E-02,1
117.012,8.56212,-0.41262,98.53631,0.00E+00,70,-1.42E-02,1
117.512,8.60407,-0.41617,98.53835,0.00E+00,70,-9.72E-03,1
118.012,8.64598,-0.41947,98.53936,0.00E+00,70,-5.43E-03,1
118.512,8.68783,-0.42354,98.54025,0.00E+00,70,-1.67E-03,1
119.012,8.72963,-0.42639,98.54214,0.00E+00,70,1.37E-03,1
119.512,8.77148,-0.42901,98.54393,0.00E+00,70,3.60E-03,1
120.012,8.81336,-0.43278,98.5444,0.00E+00,70,4.99E-03,1
120.512,8.85526,-0.43666,98.54447,0.00E+00,70,5.56E-03,1
121.012,8.89723,-0.43948,98.54452,0.00E+00,70,5.33E-03,1
121.512,8.93928,-0.442,98.54125,0.00E+00,70,4.32E-03,1
122.012,8.98141,-0.4461,98.54109,0.00E+00,70,2.53E-03,1
122.512,9.02359,-0.45047,98.54258,0.00E+00,70,-6.61E-05,1
123.012,9.0658,-0.45347,98.54364,0.00E+00,70,-3.46E-03,1
123.512,9.10801,-0.45677,98.54437,0.00E+00,70,-7.58E-03,1
124.012,9.15022,-0.46153,98.54441,0.00E+00,70,-1.23E-02,1
