Time (s),Temperature (K),Mass (mg), Heat Flow Rate (W/g)
0.0000e+00,3.0000e+02,5.0000e+00,1.5917e+01
3.0000e-01,3.0050e+02,5.0000e+00,1.5917e+01
6.0000e-01,3.0100e+02,5.0000e+00,1.5917e+01
9.0000e-01,3.0150e+02,5.0000e+00,1.5917e+01
1.2000e+00,3.0200e+02,5.0000e+00,1.5917e+01
1.5000e+00,3.0250e+02,5.0000e+00,1.5917e+01
1.8000e+00,3.0300e+02,5.0000e+00,1.5917e+01
2.1000e+00,3.0350e+02,5.0000e+00,1.5917e+01
2.4000e+00,3.0400e+02,5.0000e+00,1.5917e+01
2.7000e+00,3.0450e+02,5.0000e+00,1.5917e+01
3.0000e+00,3.0500e+02,5.0000e+00,1.5917e+01
3.3000e+00,3.0550e+02,5.0000e+00,1.5917e+01
3.6000e+00,3.0600e+02,5.0000e+00,1.5917e+01
3.9000e+00,3.0650e+02,5.0000e+00,1.5917e+01
4.2000e+00,3.0700e+02,5.0000e+00,1.5917e+01
4.5000e+00,3.0750e+02,5.0000e+00,1.5917e+01
4.8000e+00,3.0800e+02,5.0000e+00,1.5917e+01
5.1000e+00,3.0850e+02,5.0000e+00,1.5917e+01
5.4000e+00,3.0900e+02,5.0000e+00,1.5917e+01
5.7000e+00,3.0950e+02,5.0000e+00,1.5917e+01
6.0000e+00,3.1000e+02,5.0000e+00,1.5917e+01
6.3000e+00,3.1050e+02,5.0000e+00,1.5917e+01
6.6000e+00,3.1100e+02,5.0000e+00,1.5917e+01
6.9000e+00,3.1150e+02,5.0000e+00,1.5917e+01
7.2000e+00,3.1200e+02,5.0000e+00,1.5917e+01
7.5000e+00,3.1250e+02,5.0000e+00,1.5917e+01
7.8000e+00,3.1300e+02,5.0000e+00,1.5917e+01
8.1000e+00,3.1350e+02,5.0000e+00,1.5917e+01
8.4000e+00,3.1400e+02,5.0000e+00,1.5917e+01
8.7000e+00,3.1450e+02,5.0000e+00,1.5917e+01
9.0000e+00,3.1500e+02,5.0000e+00,1.5917e+01
9.3000e+00,3.1550e+02,5.0000e+00,1.5917e+01
9.6000e+00,3.1600e+02,5.0000e+00,1.5917e+01
9.9000e+00,3.1650e+02,5.0000e+00,1.5917e+01
1.0200e+01,3.1700e+02,5.0000e+00,1.5917e+01
1.0500e+01,3.1750e+02,5.0000e+00,1.5917e+01
1.0800e+01,3.1800e+02,5.0000e+00,1.5917e+01
1.1100e+01,3.1850e+02,5.0000e+00,1.5917e+01
1.1400e+01,3.1900e+02,5.0000e+00,1.5917e+01
1.1700e+01,3.1950e+02,5.0000e+00,1.5917e+01
1.2000e+01,3.2000e+02,5.0000e+00,1.5917e+01
1.2300e+01,3.2050e+02,5.0000e+00,1.5917e+01
1.2600e+01,3.2100e+02,5.0000e+00,1.5917e+01
1.2900e+01,3.2150e+02,5.0000e+00,1.5917e+01
1.3200e+01,3.2200e+02,5.0000e+00,1.5917e+01
1.3500e+01,3.2250e+02,5.0000e+00,1.5917e+01
1.3800e+01,3.2300e+02,5.0000e+00,1.5917e+01
1.4100e+01,3.2350e+02,5.0000e+00,1.5917e+01
1.4400e+01,3.2400e+02,5.0000e+00,1.5917e+01
1.4700e+01,3.2450e+02,5.0000e+00,1.5917e+01
1.5000e+01,3.2500e+02,5.0000e+00,1.5917e+01
1.5300e+01,3.2550e+02,5.0000e+00,1.5917e+01
1.5600e+01,3.2600e+02,5.0000e+00,1.5917e+01
1.5900e+01,3.2650e+02,5.0000e+00,1.5917e+01
1.6200e+01,3.2700e+02,5.0000e+00,1.5917e+01
1.6500e+01,3.2750e+02,5.0000e+00,1.5917e+01
1.6800e+01,3.2800e+02,5.0000e+00,1.5917e+01
1.7100e+01,3.2850e+02,5.0000e+00,1.5917e+01
1.7400e+01,3.2900e+02,5.0000e+00,1.5917e+01
1.7700e+01,3.2950e+02,5.0000e+00,1.5917e+01
1.8000e+01,3.3000e+02,5.0000e+00,1.5917e+01
1.8300e+01,3.3050e+02,5.0000e+00,1.5917e+01
1.8600e+01,3.3100e+02,5.0000e+00,1.5917e+01
1.8900e+01,3.3150e+02,5.0000e+00,1.5917e+01
1.9200e+01,3.3200e+02,5.0000e+00,1.5917e+01
1.9500e+01,3.3250e+02,5.0000e+00,1.5917e+01
1.9800e+01,3.3300e+02,5.0000e+00,1.5917e+01
2.0100e+01,3.3350e+02,5.0000e+00,1.5917e+01
2.0400e+01,3.3400e+02,5.0000e+00,1.5917e+01
2.0700e+01,3.3450e+02,5.0000e+00,1.5917e+01
2.1000e+01,3.3500e+02,5.0000e+00,1.5917e+01
2.1300e+01,3.3550e+02,5.0000e+00,1.5917e+01
2.1600e+01,3.3600e+02,5.0000e+00,1.5917e+01
2.1900e+01,3.3650e+02,5.0000e+00,1.5917e+01
2.2200e+01,3.3700e+02,5.0000e+00,1.5917e+01
2.2500e+01,3.3750e+02,5.0000e+00,1.5917e+01
2.2800e+01,3.3800e+02,5.0000e+00,1.5917e+01
2.3100e+01,3.3850e+02,5.0000e+00,1.5917e+01
2.3400e+01,3.3900e+02,5.0000e+00,1.5917e+01
2.3700e+01,3.3950e+02,5.0000e+00,1.5916e+01
2.4000e+01,3.4000e+02,5.0000e+00,1.5916e+01
2.4300e+01,3.4050e+02,5.0000e+00,1.5916e+01
2.4600e+01,3.4100e+02,5.0000e+00,1.5916e+01
2.4900e+01,3.4150e+02,5.0000e+00,1.5916e+01
2.5200e+01,3.4200e+02,5.0000e+00,1.5916e+01
2.5500e+01,3.4250e+02,5.0000e+00,1.5916e+01
2.5800e+01,3.4300e+02,5.0000e+00,1.5916e+01
2.6100e+01,3.4350e+02,5.0000e+00,1.5916e+01
2.6400e+01,3.4400e+02,5.0000e+00,1.5916e+01
2.6700e+01,3.4450e+02,5.0000e+00,1.5916e+01
2.7000e+01,3.4500e+02,5.0000e+00,1.5916e+01
2.7300e+01,3.4550e+02,5.0000e+00,1.5916e+01
2.7600e+01,3.4600e+02,5.0000e+00,1.5916e+01
2.7900e+01,3.4650e+02,5.0000e+00,1.5916e+01
2.8200e+01,3.4700e+02,5.0000e+00,1.5916e+01
2.8500e+01,3.4750e+02,5.0000e+00,1.5916e+01
2.8800e+01,3.4800e+02,5.0000e+00,1.5916e+01
2.9100e+01,3.4850e+02,5.0000e+00,1.5916e+01
2.9400e+01,3.4900e+02,5.0000e+00,1.5916e+01
2.9700e+01,3.4950e+02,5.0000e+00,1.5916e+01
