Time,Temperature,Mass
[s],[K],[mg]
1209.15,307.216,-4.00E-03
1278.438,307.316,-2.89E-03
1296.9798,307.416,-4.23E-03
1309.8672,307.516,-6.07E-03
1319.577,307.616,-6.05E-03
1327.6572,307.716,-5.11E-03
1334.4552,307.816,-3.78E-03
1340.457,307.916,-4.84E-03
1345.7712,308.016,-4.26E-03
1350.8136,308.116,-4.90E-03
1355.529,308.216,-6.00E-03
1359.9216,308.316,-6.68E-03
1363.9608,308.416,-3.98E-03
1367.6634,308.516,-3.34E-03
1371.2514,308.616,-3.94E-03
1374.6168,308.716,-3.25E-03
1377.8802,308.816,-2.61E-03
1381.0386,308.916,-1.38E-03
1384.0296,309.016,-9.23E-04
1386.9708,309.116,1.19E-04
1389.759,309.216,-9.98E-04
1392.4734,309.316,2.44E-04
1395.1296,309.416,4.83E-05
1397.6808,309.516,-4.55E-04
1400.1894,309.616,-7.72E-04
1402.6062,309.716,-1.01E-03
1404.9726,309.816,2.04E-05
1407.2814,309.916,9.33E-08
1409.5176,310.016,1.73E-08
1411.6998,310.116,1.19E-05
1413.8172,310.216,-8.65E-04
1415.9082,310.316,3.59E-04
1417.9404,310.416,1.99E-03
1419.9282,310.516,2.25E-03
1421.9112,310.616,1.00E-03
1423.8498,310.716,2.81E-03
1425.7374,310.816,4.34E-06
1427.6094,310.916,9.58E-04
1429.4592,311.016,9.93E-04
1431.2934,311.116,-1.89E-04
1433.076,311.216,1.63E-03
1434.8214,311.316,9.44E-04
1436.5308,311.416,1.01E-03
1438.2372,311.516,1.07E-03
1439.9016,311.616,1.16E-03
1441.539,311.716,4.84E-04
1443.1578,311.816,2.00E-03
1444.7406,311.916,1.03E-03
1446.3456,312.016,1.05E-03
1447.9308,312.116,3.00E-03
1449.4956,312.216,7.79E-04
1451.0376,312.316,9.67E-04
1452.5742,312.416,1.54E-03
1454.0856,312.516,2.80E-03
1455.5748,312.616,2.04E-03
1457.0688,312.716,3.14E-03
1458.5244,312.816,2.75E-03
1459.9506,312.916,4.00E-03
1461.3666,313.016,2.20E-03
1462.7742,313.116,3.00E-03
1464.1524,313.216,2.00E-03
1465.518,313.316,3.21E-03
1466.883,313.416,4.07E-03
1468.2312,313.516,2.88E-03
1469.559,313.616,3.99E-03
1470.8736,313.716,3.04E-03
1472.1834,313.816,3.57E-03
1473.4884,313.916,2.52E-03
1474.785,314.016,2.81E-03
1476.0828,314.116,2.98E-03
1477.362,314.216,4.00E-03
1478.6286,314.316,2.06E-03
1479.8814,314.416,2.25E-03
1481.1294,314.516,2.20E-03
1482.3708,314.616,1.87E-03
1483.6098,314.716,2.40E-03
1484.8308,314.816,2.88E-03
1486.0434,314.916,4.19E-03
1487.2296,315.016,2.82E-03
1488.4248,315.116,4.19E-03
1489.6074,315.216,2.90E-03
1490.7834,315.316,2.99E-03
1491.96,315.416,2.93E-03
1493.127,315.516,4.20E-03
1494.2796,315.616,3.25E-03
1495.4172,315.716,4.80E-03
1496.5596,315.816,3.01E-03
1497.6948,315.916,2.94E-03
1498.8252,316.016,3.91E-03
1499.9592,316.116,3.68E-03
1501.086,316.216,3.58E-03
1502.19,316.316,3.40E-03
1503.2988,316.416,5.01E-03
1504.3944,316.516,4.00E-03
1505.4768,316.616,4.89E-03
1506.5604,316.716,4.31E-03
1507.6578,316.816,4.98E-03
1508.7276,316.916,5.29E-03
1509.786,317.016,6.08E-03
1510.8456,317.116,6.13E-03
1511.898,317.216,3.70E-03
1512.939,317.316,5.00E-03
1513.9692,317.416,5.99E-03
1515.0174,317.516,5.94E-03
1516.0392,317.616,4.06E-03
1517.064,317.716,7.21E-03
1518.084,317.816,5.15E-03
1519.1094,317.916,4.95E-03
1520.1162,318.016,6.16E-03
1521.1278,318.116,5.03E-03
1522.1388,318.216,5.73E-03
1523.1438,318.316,6.36E-03
1524.1362,318.416,6.01E-03
1525.1322,318.516,7.09E-03
1526.1276,318.616,6.85E-03
1527.1026,318.716,8.98E-03
1528.0878,318.816,6.75E-03
1529.0634,318.916,6.88E-03
1530.042,319.016,8.89E-03
1531.0068,319.116,7.14E-03
1531.9662,319.216,7.99E-03
1532.9214,319.316,8.01E-03
1533.8742,319.416,8.00E-03
1534.824,319.516,8.02E-03
1535.7684,319.616,8.35E-03
1536.7122,319.716,9.00E-03
1537.6482,319.816,8.25E-03
1538.5776,319.916,9.99E-03
1539.5028,320.016,8.42E-03
1540.4322,320.116,9.14E-03
1541.3562,320.216,8.56E-03
1542.2772,320.316,9.11E-03
1543.1988,320.416,9.70E-03
1544.1072,320.516,9.43E-03
1545.015,320.616,8.86E-03
1545.9192,320.716,8.41E-03
1546.8216,320.816,9.30E-03
1547.7246,320.916,9.14E-03
1548.6294,321.016,8.00E-03
1549.5246,321.116,1.03E-02
1550.424,321.216,9.14E-03
1551.3186,321.316,8.97E-03
1552.2114,321.416,9.78E-03
1553.1,321.516,9.79E-03
1553.9784,321.616,8.74E-03
1554.861,321.716,1.12E-02
1555.7334,321.816,1.09E-02
1556.6154,321.916,1.08E-02
1557.489,322.016,9.95E-03
1558.3704,322.116,1.10E-02
1559.2362,322.216,9.73E-03
1560.1002,322.316,1.19E-02
1560.9558,322.416,1.16E-02
1561.8186,322.516,1.18E-02
1562.67,322.616,1.20E-02
1563.5232,322.716,1.20E-02
1564.374,322.816,1.20E-02
1565.2206,322.916,1.15E-02
1566.0702,323.016,1.18E-02
1566.9192,323.116,1.16E-02
1567.7622,323.216,1.19E-02
1568.6088,323.316,1.00E-02
1569.4488,323.416,1.23E-02
1570.2894,323.516,1.19E-02
1571.118,323.616,1.14E-02
1571.9526,323.716,1.14E-02
1572.7818,323.816,1.09E-02
1573.6158,323.916,1.11E-02
1574.4378,324.016,1.02E-02
1575.2694,324.116,1.04E-02
1576.0932,324.216,1.16E-02
1576.9194,324.316,1.10E-02
1577.7456,324.416,1.11E-02
1578.558,324.516,1.03E-02
1579.3764,324.616,1.00E-02
1580.193,324.716,1.03E-02
1581.0006,324.816,1.12E-02
1581.8082,324.916,8.86E-03
1582.6128,325.016,9.92E-03
1583.4228,325.116,1.10E-02
1584.2262,325.216,1.08E-02
1585.0332,325.316,8.59E-03
1585.8276,325.416,1.07E-02
1586.6304,325.516,1.10E-02
1587.42,325.616,1.03E-02
1588.2108,325.716,7.88E-03
1589.004,325.816,1.00E-02
1589.79,325.916,9.16E-03
1590.5718,326.016,1.03E-02
1591.359,326.116,7.99E-03
1592.1414,326.216,9.14E-03
1592.9232,326.316,9.07E-03
1593.6984,326.416,8.06E-03
1594.4802,326.516,8.04E-03
1595.256,326.616,7.89E-03
1596.0264,326.716,8.83E-03
1596.8016,326.816,8.99E-03
1597.5768,326.916,9.01E-03
1598.3556,327.016,8.97E-03
1599.1218,327.116,9.03E-03
1599.888,327.216,7.98E-03
1600.6512,327.316,7.32E-03
1601.4162,327.416,8.58E-03
1602.1752,327.516,8.99E-03
1602.9408,327.616,8.77E-03
1603.704,327.716,7.67E-03
1604.4648,327.816,9.85E-03
1605.2202,327.916,8.88E-03
1605.9744,328.016,9.47E-03
1606.731,328.116,9.46E-03
1607.4894,328.216,8.90E-03
1608.2442,328.316,9.83E-03
1608.996,328.416,7.67E-03
1609.743,328.516,8.71E-03
1610.487,328.616,9.04E-03
1611.228,328.716,9.17E-03
1611.9846,328.816,9.20E-03
1612.7394,328.916,9.16E-03
1613.4828,329.016,1.01E-02
1614.222,329.116,1.01E-02
1614.9666,329.216,9.31E-03
1615.71,329.316,7.86E-03
1616.4474,329.416,7.94E-03
1617.1848,329.516,9.03E-03
1617.9192,329.616,9.02E-03
1618.6608,329.716,8.55E-03
1619.3958,329.816,7.72E-03
1620.1236,329.916,9.97E-03
1620.8568,330.016,8.87E-03
1621.5894,330.116,9.13E-03
1622.3178,330.216,8.36E-03
1623.0504,330.316,7.97E-03
1623.7812,330.416,8.00E-03
1624.5018,330.516,7.95E-03
1625.2266,330.616,8.46E-03
1625.9496,330.716,9.06E-03
1626.6768,330.816,9.02E-03
1627.3944,330.916,9.08E-03
1628.1108,331.016,9.63E-03
1628.8248,331.116,7.79E-03
1629.5418,331.216,7.93E-03
1630.2672,331.316,8.90E-03
1630.9884,331.416,9.02E-03
1631.6988,331.516,8.53E-03
1632.411,331.616,7.17E-03
1633.125,331.716,8.29E-03
1633.8306,331.816,6.97E-03
1634.5434,331.916,8.98E-03
1635.2514,332.016,8.99E-03
1635.9594,332.116,8.67E-03
1636.6638,332.216,8.00E-03
1637.3676,332.316,7.28E-03
1638.0702,332.416,7.01E-03
1638.771,332.516,7.05E-03
1639.47,332.616,9.01E-03
1640.1708,332.716,7.81E-03
1640.8674,332.816,8.15E-03
1641.5658,332.916,7.26E-03
1642.2582,333.016,6.99E-03
1642.9446,333.116,6.99E-03
1643.6358,333.216,8.08E-03
1644.3252,333.316,7.94E-03
1645.0164,333.416,8.20E-03
1645.7028,333.516,6.78E-03
1646.3874,333.616,5.94E-03
1647.0732,333.716,5.89E-03
1647.7554,333.816,8.01E-03
1648.4394,333.916,7.92E-03
1649.1252,334.016,8.40E-03
1649.811,334.116,8.28E-03
1650.495,334.216,6.69E-03
1651.182,334.316,7.79E-03
1651.8666,334.416,8.03E-03
1652.5464,334.516,8.00E-03
1653.2286,334.616,7.90E-03
1653.9108,334.716,6.90E-03
1654.5948,334.816,7.05E-03
1655.2764,334.916,6.89E-03
1655.9544,335.016,7.70E-03
1656.6354,335.116,8.05E-03
1657.3122,335.216,7.99E-03
1657.9908,335.316,7.95E-03
1658.6676,335.416,6.91E-03
1659.345,335.516,7.05E-03
1660.0164,335.616,6.90E-03
1660.695,335.716,7.59E-03
1661.3646,335.816,8.08E-03
1662.0354,335.916,7.97E-03
1662.7068,336.016,8.04E-03
1663.3776,336.116,6.97E-03
1664.0484,336.216,7.06E-03
1664.7228,336.316,6.73E-03
1665.39,336.416,5.94E-03
1666.0536,336.516,5.80E-03
1666.7154,336.616,7.36E-03
1667.3778,336.716,7.37E-03
1668.0402,336.816,6.98E-03
1668.7068,336.916,6.94E-03
1669.3656,337.016,7.98E-03
1670.0256,337.116,5.86E-03
1670.6856,337.216,6.01E-03
1671.3486,337.316,6.28E-03
1672.0128,337.416,7.15E-03
1672.6752,337.516,6.81E-03
1673.331,337.616,7.88E-03
1673.9946,337.716,6.51E-03
1674.648,337.816,5.91E-03
1675.3032,337.916,6.02E-03
1675.953,338.016,6.00E-03
1676.6034,338.116,7.04E-03
1677.2514,338.216,7.05E-03
1677.906,338.316,6.57E-03
1678.563,338.416,4.69E-03
1679.2152,338.516,5.58E-03
1679.8668,338.616,5.54E-03
1680.5184,338.716,4.93E-03
1681.1652,338.816,4.89E-03
1681.8144,338.916,5.90E-03
1682.466,339.016,5.13E-03
1683.1128,339.116,5.01E-03
1683.759,339.216,5.02E-03
1684.4058,339.316,7.03E-03
1685.049,339.416,5.88E-03
1685.6958,339.516,6.03E-03
1686.3354,339.616,6.06E-03
1686.9828,339.716,5.64E-03
1687.6326,339.816,4.87E-03
1688.2776,339.916,5.12E-03
1688.9244,340.016,4.40E-03
1689.5706,340.116,3.74E-03
1690.2138,340.216,5.60E-03
1690.8564,340.316,6.14E-03
1691.499,340.416,5.05E-03
1692.1428,340.516,5.00E-03
1692.7848,340.616,5.02E-03
1693.428,340.716,4.80E-03
1694.0664,340.816,2.83E-03
1694.709,340.916,3.08E-03
1695.3456,341.016,2.84E-03
1695.9852,341.116,3.76E-03
1696.6188,341.216,5.16E-03
1697.2566,341.316,5.15E-03
1697.8938,341.416,3.84E-03
1698.5304,341.516,2.84E-03
1699.1676,341.616,3.04E-03
1699.8,341.716,2.98E-03
1700.433,341.816,3.04E-03
1701.0684,341.916,2.88E-03
1701.6996,342.016,4.85E-03
1702.3272,342.116,5.06E-03
1702.9608,342.216,2.98E-03
1703.5878,342.316,3.06E-03
1704.2142,342.416,4.07E-03
1704.8448,342.516,3.86E-03
1705.4766,342.616,2.90E-03
1706.106,342.716,3.10E-03
1706.7408,342.816,2.64E-03
1707.3696,342.916,2.24E-03
1708.0002,343.016,3.11E-03
1708.6314,343.116,3.05E-03
1709.2602,343.216,2.52E-03
1709.8824,343.316,1.80E-03
1710.504,343.416,2.60E-03
1711.1286,343.516,3.18E-03
1711.7526,343.616,2.28E-03
1712.3766,343.716,1.97E-03
1713.0018,343.816,1.92E-03
1713.6204,343.916,2.79E-03
1714.2426,344.016,3.12E-03
1714.8666,344.116,2.09E-03
1715.4882,344.216,2.00E-03
1716.1134,344.316,1.96E-03
1716.7386,344.416,3.00E-03
1717.359,344.516,1.99E-03
1717.9752,344.616,2.01E-03
1718.5926,344.716,1.97E-03
1719.21,344.816,2.14E-03
1719.825,344.916,4.15E-03
1720.4412,345.016,3.84E-03
1721.055,345.116,2.93E-03
1721.6742,345.216,3.02E-03
1722.2934,345.316,3.00E-03
1722.9138,345.416,2.96E-03
1723.5312,345.516,3.16E-03
1724.1486,345.616,2.25E-03
1724.7648,345.716,1.45E-03
1725.3774,345.816,3.27E-03
1725.993,345.916,2.93E-03
1726.6074,346.016,3.02E-03
1727.2176,346.116,3.00E-03
1727.8278,346.216,2.98E-03
1728.435,346.316,3.07E-03
1729.044,346.416,2.75E-03
1729.6548,346.516,4.22E-03
1730.2674,346.616,4.13E-03
1730.8776,346.716,2.75E-03
1731.4866,346.816,3.09E-03
1732.0944,346.916,2.88E-03
1732.7004,347.016,3.60E-03
1733.3082,347.116,4.09E-03
1733.916,347.216,3.97E-03
1734.5244,347.316,4.05E-03
1735.1316,347.416,3.83E-03
1735.7358,347.516,4.88E-03
1736.3412,347.616,3.72E-03
1736.943,347.716,2.82E-03
1737.5496,347.816,3.07E-03
1738.155,347.916,2.88E-03
1738.761,348.016,3.72E-03
1739.3688,348.116,4.07E-03
1739.9766,348.216,3.98E-03
1740.5868,348.316,4.02E-03
1741.197,348.416,3.94E-03
1741.8054,348.516,4.22E-03
1742.4114,348.616,2.30E-03
1743.0162,348.716,2.72E-03
1743.6228,348.816,3.04E-03
1744.2258,348.916,3.07E-03
1744.8276,349.016,2.17E-03
1745.4372,349.116,1.97E-03
1746.0414,349.216,1.98E-03
1746.6396,349.316,2.10E-03
1747.2408,349.416,1.07E-03
1747.842,349.516,1.82E-03
1748.4444,349.616,2.05E-03
1749.0456,349.716,1.99E-03
1749.6486,349.816,2.00E-03
1750.2486,349.916,2.00E-03
1750.851,350.016,2.00E-03
1751.4468,350.116,2.00E-03
1752.0456,350.216,2.00E-03
1752.645,350.316,2.00E-03
1753.2426,350.416,2.00E-03
1753.8372,350.516,2.00E-03
1754.4342,350.616,2.00E-03
1755.0312,350.716,2.00E-03
1755.6228,350.816,2.01E-03
1756.2168,350.916,1.96E-03
1756.8102,351.016,2.15E-03
1757.4072,351.116,1.02E-03
1758.0006,351.216,2.52E-03
1758.5946,351.316,3.12E-03
1759.1856,351.416,2.97E-03
1759.7802,351.516,2.98E-03
1760.373,351.616,3.10E-03
1760.9688,351.716,2.27E-03
1761.5634,351.816,1.93E-03
1762.1562,351.916,2.02E-03
1762.7442,352.016,1.99E-03
1763.3346,352.116,2.01E-03
1763.9256,352.216,1.96E-03
1764.5142,352.316,2.16E-03
1765.0992,352.416,1.19E-03
1765.6842,352.516,2.05E-03
1766.2716,352.616,3.21E-03
1766.8578,352.716,2.95E-03
1767.4422,352.816,2.96E-03
1768.0296,352.916,3.19E-03
1768.617,353.016,2.13E-03
1769.2038,353.116,7.88E-04
1769.7918,353.216,1.06E-03
1770.375,353.316,9.88E-04
1770.9576,353.416,9.93E-04
1771.542,353.516,1.04E-03
1772.1288,353.616,8.69E-04
1772.7114,353.716,1.48E-03
1773.2952,353.816,3.16E-03
1773.8772,353.916,3.04E-03
1774.4598,354.016,2.71E-03
1775.0418,354.116,8.52E-04
1775.625,354.216,1.03E-03
1776.2034,354.316,9.93E-04
1776.7878,354.416,1.00E-03
1777.3722,354.516,1.00E-03
1777.9572,354.616,9.99E-04
1778.5374,354.716,9.91E-04
1779.1188,354.816,1.08E-03
1779.702,354.916,-9.73E-04
1780.2834,355.016,7.90E-04
1780.866,355.116,1.07E-03
1781.445,355.216,9.75E-04
1782.0246,355.316,1.01E-03
1782.6024,355.416,9.97E-04
1783.1814,355.516,1.00E-03
1783.7658,355.616,1.00E-03
1784.349,355.716,9.96E-04
1784.9256,355.816,1.02E-03
1785.5028,355.916,9.43E-04
1786.0812,356.016,1.21E-03
1786.6578,356.116,-3.18E-05
1787.2362,356.216,-1.21E-03
1787.8134,356.316,-9.40E-04
1788.39,356.416,-1.03E-03
1788.9666,356.516,-9.54E-04
1789.5408,356.616,-1.14E-03
1790.1162,356.716,-5.14E-04
1790.691,356.816,1.20E-03
1791.2652,356.916,9.33E-04
1791.8394,357.016,1.07E-03
1792.4076,357.116,8.57E-04
1792.9794,357.216,-1.06E-03
1793.55,357.316,-1.00E-03
1794.1254,357.416,-9.88E-04
1794.699,357.516,-1.06E-03
1795.2714,357.616,-3.45E-05
1795.8426,357.716,-8.17E-04
1796.4096,357.816,-1.06E-03
1796.9772,357.916,-9.81E-04
1797.549,358.016,-9.97E-04
1798.1166,358.116,-1.03E-03
1798.6836,358.216,-8.68E-04
1799.2506,358.316,-1.60E-03
1799.8158,358.416,-1.67E-03
1800.3828,358.516,-8.58E-04
1800.9498,358.616,-1.06E-03
1801.5174,358.716,-9.31E-04
1802.085,358.816,-1.19E-03
1802.6502,358.916,-2.08E-03
1803.2166,359.016,-1.98E-03
1803.7866,359.116,-2.00E-03
1804.3524,359.216,-2.00E-03
1804.9194,359.316,-2.00E-03
1805.4882,359.416,-2.03E-03
1806.0516,359.516,-1.85E-03
1806.6114,359.616,-3.62E-03
1807.1748,359.716,-4.10E-03
1807.7376,359.816,-4.07E-03
1808.301,359.916,-3.41E-03
1808.8644,360.016,-2.90E-03
1809.4236,360.116,-3.03E-03
1809.981,360.216,-2.99E-03
1810.5414,360.316,-3.00E-03
1811.0994,360.416,-3.01E-03
1811.6568,360.516,-2.96E-03
1812.2148,360.616,-3.08E-03
1812.7728,360.716,-4.02E-03
1813.3308,360.816,-4.01E-03
1813.89,360.916,-3.99E-03
1814.4492,361.016,-4.00E-03
1815.006,361.116,-4.00E-03
1815.5598,361.216,-4.00E-03
1816.113,361.316,-4.02E-03
1816.6674,361.416,-3.93E-03
1817.2224,361.516,-4.24E-03
1817.7756,361.616,-3.13E-03
1818.3288,361.716,-2.33E-03
1818.8838,361.816,-4.23E-03
1819.4406,361.916,-3.95E-03
1819.995,362.016,-4.01E-03
1820.5512,362.116,-4.00E-03
1821.102,362.216,-4.00E-03
1821.6558,362.316,-4.00E-03
1822.2132,362.416,-4.00E-03
1822.7694,362.516,-4.00E-03
1823.3286,362.616,-4.00E-03
1823.8854,362.716,-4.00E-03
1824.4404,362.816,-4.00E-03
1824.9954,362.916,-4.00E-03
1825.5504,363.016,-3.99E-03
1826.1054,363.116,-4.03E-03
1826.6568,363.216,-3.93E-03
1827.2076,363.316,-4.14E-03
1827.7596,363.416,-6.02E-03
1828.314,363.516,-6.02E-03
1828.8696,363.616,-5.99E-03
1829.4216,363.716,-6.00E-03
1829.9784,363.816,-6.04E-03
1830.534,363.916,-5.84E-03
1831.0896,364.016,-6.79E-03
1831.6446,364.116,-6.13E-03
1832.196,364.216,-4.76E-03
1832.748,364.316,-5.06E-03
1833.3012,364.416,-4.98E-03
1833.855,364.516,-5.00E-03
1834.4064,364.616,-5.00E-03
1834.959,364.716,-5.00E-03
1835.5116,364.816,-5.00E-03
1836.063,364.916,-5.02E-03
1836.6162,365.016,-4.91E-03
1837.1688,365.116,-5.73E-03
1837.719,365.216,-6.08E-03
1838.2698,365.316,-5.97E-03
1838.82,365.416,-6.03E-03
1839.3678,365.516,-5.92E-03
1839.9168,365.616,-6.24E-03
1840.4688,365.716,-7.09E-03
1841.0178,365.816,-6.97E-03
1841.5626,365.916,-7.01E-03
1842.1134,366.016,-7.08E-03
1842.6564,366.116,-5.17E-03
1843.2024,366.216,-5.69E-03
1843.746,366.316,-6.11E-03
1844.2896,366.416,-5.99E-03
1844.8356,366.516,-5.91E-03
1845.3792,366.616,-6.36E-03
1845.921,366.716,-7.10E-03
1846.4634,366.816,-6.97E-03
1847.0082,366.916,-7.01E-03
1847.5512,367.016,-7.00E-03
1848.0924,367.116,-6.95E-03
1848.633,367.216,-7.84E-03
1849.1706,367.316,-8.08E-03
1849.7094,367.416,-7.91E-03
1850.2518,367.516,-8.23E-03
1850.7924,367.616,-7.14E-03
1851.3324,367.716,-6.07E-03
1851.8754,367.816,-7.14E-03
1852.4154,367.916,-6.97E-03
1852.9524,368.016,-7.00E-03
1853.4882,368.116,-7.03E-03
1854.027,368.216,-6.82E-03
1854.5664,368.316,-8.46E-03
1855.1052,368.416,-9.14E-03
1855.6428,368.516,-9.04E-03
1856.1804,368.616,-8.65E-03
1856.7198,368.716,-7.89E-03
1857.258,368.816,-8.02E-03
1857.7944,368.916,-8.00E-03
1858.3332,369.016,-8.00E-03
1858.8732,369.116,-8.00E-03
1859.4084,369.216,-8.00E-03
1859.9436,369.316,-7.99E-03
1860.4782,369.416,-8.05E-03
1861.0128,369.516,-7.82E-03
1861.5498,369.616,-8.59E-03
1862.0892,369.716,-1.02E-02
1862.6268,369.816,-9.87E-03
1863.1608,369.916,-8.99E-03
1863.6948,370.016,-8.98E-03
1864.227,370.116,-9.01E-03
1864.764,370.216,-9.00E-03
1865.2998,370.316,-9.00E-03
1865.835,370.416,-9.00E-03
1866.3726,370.516,-9.00E-03
1866.909,370.616,-9.00E-03
1867.4424,370.716,-9.00E-03
1867.9788,370.816,-9.00E-03
1868.514,370.916,-9.00E-03
1869.0492,371.016,-8.99E-03
1869.585,371.116,-9.03E-03
1870.1178,371.216,-8.89E-03
1870.6524,371.316,-9.50E-03
1871.1852,371.416,-1.01E-02
1871.715,371.516,-9.97E-03
1872.2466,371.616,-1.00E-02
1872.7818,371.716,-1.00E-02
1873.3176,371.816,-1.00E-02
1873.8492,371.916,-1.00E-02
1874.3826,372.016,-1.00E-02
1874.9118,372.116,-1.00E-02
1875.4398,372.216,-1.00E-02
1875.972,372.316,-1.00E-02
1876.5042,372.416,-9.99E-03
1877.0328,372.516,-1.00E-02
1877.5608,372.616,-9.99E-03
1878.0924,372.716,-9.10E-03
1878.6246,372.816,-8.78E-03
1879.1526,372.916,-1.04E-02
1879.6776,373.016,-1.12E-02
1880.2056,373.116,-1.09E-02
1880.733,373.216,-1.10E-02
1881.2586,373.316,-1.10E-02
1881.7866,373.416,-1.10E-02
1882.3122,373.516,-1.10E-02
1882.842,373.616,-1.09E-02
1883.3688,373.716,-1.17E-02
1883.8962,373.816,-1.21E-02
1884.426,373.916,-1.21E-02
1884.9546,374.016,-1.17E-02
1885.4802,374.116,-1.09E-02
1886.007,374.216,-1.10E-02
1886.538,374.316,-1.10E-02
1887.0618,374.416,-1.10E-02
1887.5904,374.516,-1.09E-02
1888.1202,374.616,-1.16E-02
1888.6458,374.716,-1.21E-02
1889.1726,374.816,-1.20E-02
1889.7024,374.916,-1.20E-02
1890.2316,375.016,-1.20E-02
1890.7578,375.116,-1.20E-02
1891.2828,375.216,-1.20E-02
1891.809,375.316,-1.19E-02
1892.3382,375.416,-1.28E-02
1892.8656,375.516,-1.26E-02
1893.3924,375.616,-1.19E-02
1893.9192,375.716,-1.20E-02
1894.4448,375.816,-1.20E-02
1894.9704,375.916,-1.20E-02
1895.493,376.016,-1.20E-02
1896.0204,376.116,-1.20E-02
1896.5478,376.216,-1.20E-02
1897.074,376.316,-1.19E-02
1897.5996,376.416,-1.24E-02
1898.1228,376.516,-1.31E-02
1898.646,376.616,-1.30E-02
1899.1698,376.716,-1.30E-02
1899.6954,376.816,-1.30E-02
1900.221,376.916,-1.31E-02
1900.7436,377.016,-1.23E-02
1901.2674,377.116,-1.19E-02
1901.7912,377.216,-1.20E-02
1902.3132,377.316,-1.20E-02
1902.8358,377.416,-1.20E-02
1903.359,377.516,-1.20E-02
1903.884,377.616,-1.20E-02
1904.4072,377.716,-1.20E-02
1904.9292,377.816,-1.19E-02
1905.4524,377.916,-1.25E-02
1905.9738,378.016,-1.31E-02
1906.494,378.116,-1.30E-02
1907.0154,378.216,-1.30E-02
1907.5398,378.316,-1.30E-02
1908.0642,378.416,-1.30E-02
1908.5856,378.516,-1.30E-02
1909.1064,378.616,-1.30E-02
1909.6278,378.716,-1.31E-02
1910.1492,378.816,-1.26E-02
1910.67,378.916,-1.21E-02
1911.192,379.016,-1.30E-02
1911.7134,379.116,-1.30E-02
1912.236,379.216,-1.30E-02
1912.7574,379.316,-1.29E-02
1913.2788,379.416,-1.36E-02
1913.7984,379.516,-1.41E-02
1914.3198,379.616,-1.40E-02
1914.8424,379.716,-1.40E-02
1915.3614,379.816,-1.40E-02
1915.8858,379.916,-1.40E-02
1916.4048,380.016,-1.40E-02
1916.925,380.116,-1.40E-02
1917.4458,380.216,-1.39E-02
1917.9654,380.316,-1.43E-02
1918.4862,380.416,-1.51E-02
1919.0082,380.516,-1.50E-02
1919.529,380.616,-1.50E-02
1920.0498,380.716,-1.51E-02
1920.5676,380.816,-1.43E-02
1921.0848,380.916,-1.39E-02
1921.6026,381.016,-1.39E-02
1922.121,381.116,-1.42E-02
1922.64,381.216,-1.51E-02
1923.1596,381.316,-1.50E-02
1923.6804,381.416,-1.50E-02
1924.2,381.516,-1.50E-02
1924.7178,381.616,-1.50E-02
1925.2332,381.716,-1.50E-02
1925.7498,381.816,-1.50E-02
1926.27,381.916,-1.50E-02
1926.7908,382.016,-1.50E-02
1927.3092,382.116,-1.50E-02
1927.8288,382.216,-1.48E-02
1928.3436,382.316,-1.64E-02
1928.8584,382.416,-1.72E-02
1929.375,382.516,-1.69E-02
1929.8922,382.616,-1.70E-02
1930.41,382.716,-1.70E-02
1930.9278,382.816,-1.70E-02
1931.4462,382.916,-1.72E-02
1931.9634,383.016,-1.56E-02
1932.48,383.116,-1.48E-02
1932.9978,383.216,-1.50E-02
1933.518,383.316,-1.50E-02
1934.0364,383.416,-1.49E-02
1934.5518,383.516,-1.50E-02
1935.0702,383.616,-1.68E-02
1935.5874,383.716,-1.71E-02
1936.1028,383.816,-1.70E-02
1936.6164,383.916,-1.70E-02
1937.1312,384.016,-1.70E-02
1937.6472,384.116,-1.70E-02
1938.1638,384.216,-1.70E-02
1938.6792,384.316,-1.70E-02
1939.1952,384.416,-1.70E-02
1939.71,384.516,-1.70E-02
1940.223,384.616,-1.70E-02
1940.7396,384.716,-1.70E-02
1941.2574,384.816,-1.69E-02
1941.7734,384.916,-1.71E-02
1942.29,385.016,-1.89E-02
1942.8042,385.116,-1.91E-02
1943.3172,385.216,-1.90E-02
1943.832,385.316,-1.90E-02
1944.3462,385.416,-1.90E-02
1944.8568,385.516,-1.90E-02
1945.368,385.616,-1.90E-02
1945.881,385.716,-1.90E-02
1946.3928,385.816,-1.90E-02
1946.9082,385.916,-1.90E-02
1947.4224,386.016,-1.89E-02
1947.9342,386.116,-1.91E-02
1948.449,386.216,-1.87E-02
1948.9644,386.316,-1.70E-02
1949.478,386.416,-1.70E-02
1949.9934,386.516,-1.70E-02
1950.5094,386.616,-1.70E-02
1951.0242,386.716,-1.70E-02
1951.5378,386.816,-1.70E-02
1952.0496,386.916,-1.70E-02
1952.5638,387.016,-1.70E-02
1953.0804,387.116,-1.70E-02
1953.5934,387.216,-1.71E-02
1954.1082,387.316,-1.68E-02
1954.6218,387.416,-1.79E-02
1955.1354,387.516,-1.92E-02
1955.6502,387.616,-1.90E-02
1956.1644,387.716,-1.90E-02
1956.6786,387.816,-1.90E-02
1957.1946,387.916,-1.90E-02
1957.7106,388.016,-1.90E-02
1958.2272,388.116,-1.90E-02
1958.7438,388.216,-1.90E-02
