Time (s),Temperature (K),Mass (mg),Heat Flow Rate(W/g)
0,308,8.2091,0.3811
2.8,308.5,8.206,0.3945
5.6,309,8.2033,0.4055
8.3,309.5,8.1999,0.4189
11,310,8.197,0.4304
13.8,310.5,8.1934,0.4445
16.3,311,8.1904,0.4565
18.8,311.5,8.1873,0.4683
21.3,312,8.184,0.4808
23.8,312.5,8.1807,0.4937
26.3,313,8.1772,0.5066
28.6,313.5,8.1737,0.5198
30.9,314,8.1708,0.5311
33.2,314.5,8.1673,0.5447
35.5,315,8.1643,0.5559
37.8,315.5,8.1604,0.5699
40.1,316,8.1571,0.5814
42.4,316.5,8.1529,0.5963
44.7,317,8.1495,0.6083
47,317.5,8.1454,0.6228
49,318,8.1417,0.6355
51.3,318.5,8.1383,0.6473
53.6,319,8.1337,0.6627
55.6,319.5,8.1299,0.6759
57.9,320,8.1261,0.6888
60.2,320.5,8.1212,0.706
62.2,321,8.117,0.7204
64.2,321.5,8.1134,0.734
66.2,322,8.1092,0.7491
68.2,322.5,8.1053,0.7634
70.2,323,8.1007,0.7787
72.2,323.5,8.096,0.7938
74.2,324,8.0911,0.809
76.2,324.5,8.0864,0.8237
78.2,325,8.0813,0.8388
80.2,325.5,8.0761,0.8541
82.2,326,8.0706,0.8705
84.2,326.5,8.0652,0.8866
85.9,327,8.0597,0.9026
87.7,327.5,8.0555,0.9148
89.7,328,8.0497,0.9312
91.7,328.5,8.0438,0.9475
93.4,329,8.038,0.9638
95.2,329.5,8.0335,0.9763
97.2,330,8.0275,0.993
99.2,330.5,8.0214,1.0098
100.9,331,8.0152,1.0269
102.7,331.5,8.0104,1.0398
104.7,332,8.004,1.057
106.7,332.5,7.9975,1.0741
108.4,333,7.9909,1.0914
110.2,333.5,7.9858,1.1045
112.2,334,7.9789,1.1219
113.9,334.5,7.972,1.1394
115.6,335,7.9668,1.1523
117.3,335.5,7.9598,1.1694
119.1,336,7.9544,1.1821
120.9,336.5,7.9472,1.1991
122.6,337,7.9419,1.2115
124.3,337.5,7.9348,1.2277
126,338,7.9294,1.2394
127.7,338.5,7.9221,1.255
129.5,339,7.9166,1.2666
131.3,339.5,7.9092,1.2817
133,340,7.9036,1.2929
134.7,340.5,7.8961,1.307
136.2,341,7.8904,1.3173
137.9,341.5,7.8848,1.3274
139.6,342,7.8772,1.3408
141.1,342.5,7.8715,1.3506
142.9,343,7.8658,1.36
144.7,343.5,7.8584,1.3718
146.4,344,7.8528,1.3803
148.1,344.5,7.8454,1.3912
149.6,345,7.8397,1.3992
151.1,345.5,7.8341,1.407
152.8,346,7.8285,1.4142
154.5,346.5,7.821,1.4232
156,347,7.8155,1.4293
157.5,347.5,7.81,1.4354
159.3,348,7.8045,1.4413
161.1,348.5,7.7972,1.4488
162.6,349,7.7919,1.4542
164.1,349.5,7.7864,1.459
165.6,350,7.7811,1.4632
167.1,350.5,7.7757,1.4669
168.6,351,7.7705,1.4701
170.3,351.5,7.7652,1.4729
172,352,7.7585,1.4756
173.5,352.5,7.7534,1.4773
175,353,7.7484,1.4785
176.5,353.5,7.7435,1.4793
178,354,7.7386,1.4795
179.5,354.5,7.7338,1.4794
181,355,7.729,1.4791
182.5,355.5,7.7243,1.4781
184,356,7.7196,1.4764
185.5,356.5,7.7148,1.4743
187,357,7.7103,1.4718
188.5,357.5,7.7058,1.4693
190,358,7.7013,1.4663
191.5,358.5,7.6969,1.4627
193,359,7.6927,1.4585
194.5,359.5,7.6885,1.4539
196,360,7.6843,1.4489
197.5,360.5,7.6802,1.4434
199,361,7.6761,1.4378
200.5,361.5,7.6721,1.4316
202,362,7.6695,1.4275
203.5,362.5,7.6657,1.421
205,363,7.6619,1.4141
206.5,363.5,7.6581,1.4067
208,364,7.6544,1.3986
209.5,364.5,7.6509,1.3902
211,365,7.6486,1.3845
212.5,365.5,7.6452,1.3758
214,366,7.6419,1.3668
215.5,366.5,7.6385,1.3577
217,367,7.6352,1.3481
218.5,367.5,7.6321,1.3382
220,368,7.629,1.3282
221.5,368.5,7.626,1.3183
223,369,7.624,1.3115
224.5,369.5,7.6211,1.3015
226,370,7.6184,1.2911
227.5,370.5,7.6157,1.2806
229,371,7.6131,1.2702
230.5,371.5,7.6105,1.2595
232,372,7.6089,1.2522
233.5,372.5,7.6064,1.2413
235,373,7.604,1.2303
236.5,373.5,7.6016,1.2193
238,374,7.5993,1.2077
239.5,374.5,7.5979,1.1998
241,375,7.5957,1.1878
242.5,375.5,7.5937,1.1763
244,376,7.5916,1.1648
245.5,376.5,7.5902,1.1574
247,377,7.5883,1.1459
248.5,377.5,7.5864,1.1342
250,378,7.5846,1.1224
251.5,378.5,7.5828,1.1104
253,379,7.5817,1.1027
254.5,379.5,7.5799,1.0909
256,380,7.5783,1.079
257.5,380.5,7.5767,1.0674
259,381,7.5757,1.0594
260.5,381.5,7.5744,1.0479
262,382,7.573,1.0363
263.5,382.5,7.5721,1.0288
265,383,7.5707,1.0174
266.5,383.5,7.5694,1.0062
268,384,7.5682,0.9953
269.5,384.5,7.5674,0.9881
271,385,7.5663,0.9773
272.5,385.5,7.5651,0.9665
274,386,7.5643,0.9593
275.5,386.5,7.5633,0.9485
277,387,7.5623,0.9381
278.5,387.5,7.5613,0.9279
280,388,7.5604,0.9183
281.5,388.5,7.5599,0.912
283,389,7.5591,0.9025
284.5,389.5,7.5583,0.8935
286,390,7.5575,0.8846
287.5,390.5,7.5569,0.8789
289,391,7.5561,0.8705
290.5,391.5,7.5554,0.8625
292,392,7.5546,0.8548
293.5,392.5,7.5542,0.8495
295,393,7.5536,0.842
296.5,393.5,7.5529,0.8346
298,394,7.5523,0.8276
299.5,394.5,7.5516,0.8212
301,395,7.5512,0.8171
302.5,395.5,7.5506,0.8114
304,396,7.55,0.8059
305.5,396.5,7.5495,0.8005
307,397,7.5491,0.7971
308.5,397.5,7.5486,0.7919
310,398,7.5481,0.7873
311.5,398.5,7.5476,0.7828
313,399,7.547,0.7788
314.5,399.5,7.5467,0.7762
316,400,7.5462,0.7728
317.5,400.5,7.5457,0.7697
319,401,7.5452,0.7666
320.5,401.5,7.5447,0.7637
322,402,7.5443,0.7618
323.5,402.5,7.5439,0.7593
325,403,7.5433,0.7571
326.5,403.5,7.543,0.7552
328,404,7.5427,0.7541
329.5,404.5,7.5424,0.753
331,405,7.5421,0.7518
332.5,405.5,7.5418,0.7507
334,406,7.5415,0.7496
335.5,406.5,7.5413,0.749
337,407,7.5408,0.7486
338.5,407.5,7.5403,0.7482
340,408,7.5399,0.7478
341.5,408.5,7.5395,0.7474
343,409,7.539,0.747
344.5,409.5,7.5386,0.7468
346,410,7.5382,0.7467
347.5,410.5,7.5378,0.747
349,411,7.5376,0.7473
350.5,411.5,7.5372,0.7479
352,412,7.5368,0.7491
353.5,412.5,7.5364,0.7505
355,413,7.5362,0.7515
356.5,413.5,7.5358,0.753
358,414,7.5354,0.7541
359.5,414.5,7.5351,0.7552
361,415,7.5349,0.756
362.5,415.5,7.5346,0.7572
364,416,7.5342,0.7587
365.5,416.5,7.5337,0.7601
367,417,7.5335,0.7613
368.5,417.5,7.5332,0.7632
370,418,7.5328,0.7657
371.5,418.5,7.5325,0.7691
373,419,7.532,0.7736
374.5,419.5,7.5318,0.7767
376,420,7.5314,0.7813
377.5,420.5,7.531,0.7853
379,421,7.5306,0.7888
380.5,421.5,7.5303,0.7922
382,422,7.5301,0.7942
383.5,422.5,7.5297,0.7975
385,423,7.5294,0.8008
386.5,423.5,7.529,0.8039
388,424,7.5287,0.8061
389.5,424.5,7.5284,0.8093
391,425,7.5281,0.8126
392.5,425.5,7.5279,0.8161
394,426,7.5276,0.819
395.5,426.5,7.5274,0.8211
397,427,7.5271,0.8243
398.5,427.5,7.5268,0.8277
400,428,7.5265,0.8313
401.5,428.5,7.5263,0.8337
403,429,7.5259,0.8371
404.5,429.5,7.5255,0.8408
406,430,7.5252,0.8447
407.5,430.5,7.525,0.8474
409,431,7.5246,0.8515
410.5,431.5,7.5243,0.8555
412,432,7.5238,0.8594
413.5,432.5,7.5234,0.8633
415,433,7.5231,0.8661
416.5,433.5,7.5228,0.8706
418,434,7.5225,0.8752
419.5,434.5,7.5222,0.8797
421,435,7.522,0.8825
422.5,435.5,7.5216,0.8861
424,436,7.5211,0.8898
425.5,436.5,7.5207,0.8934
427,437,7.5205,0.8959
428.5,437.5,7.5201,0.8994
430,438,7.5197,0.9024
431.5,438.5,7.5194,0.9054
433,439,7.5191,0.9073
434.5,439.5,7.5187,0.91
436,440,7.5184,0.9128
437.5,440.5,7.5179,0.9156
439,441,7.5176,0.9186
440.5,441.5,7.5172,0.9221
442,442,7.5169,0.9243
443.5,442.5,7.5164,0.9279
445,443,7.516,0.932
446.5,443.5,7.5155,0.9364
448,444,7.5151,0.9395
449.5,444.5,7.5146,0.9439
451,445,7.5142,0.9483
452.5,445.5,7.5137,0.9527
454,446,7.5134,0.9557
455.5,446.5,7.5129,0.9602
457,447,7.5125,0.965
458.5,447.5,7.512,0.9698
460,448,7.5118,0.9731
461.5,448.5,7.5113,0.978
463,449,7.5109,0.9829
464.5,449.5,7.5103,0.9879
466,450,7.51,0.9913
467.5,450.5,7.5095,0.9964
469,451,7.509,1.0012
470.5,451.5,7.5084,1.0062
472,452,7.508,1.0093
473.5,452.5,7.5074,1.0139
475,453,7.5068,1.0186
476.5,453.5,7.5064,1.0235
478,454,7.5059,1.0286
479.5,454.5,7.5055,1.0322
481,455,7.5049,1.0375
482.5,455.5,7.5042,1.0427
484,456,7.5038,1.0463
485.5,456.5,7.5032,1.0513
487,457,7.5025,1.0562
488.5,457.5,7.5019,1.061
490,458,7.5015,1.0641
491.5,458.5,7.5008,1.0689
493,459,7.5001,1.0738
494.5,459.5,7.4994,1.0786
496,460,7.499,1.082
497.5,460.5,7.4983,1.0867
499,461,7.4975,1.0912
500.5,461.5,7.4968,1.0959
502,462,7.4961,1.1003
503.5,462.5,7.4955,1.1035
505,463,7.4948,1.1079
506.5,463.5,7.494,1.112
508,464,7.4934,1.1149
509.5,464.5,7.4926,1.1191
511,465,7.4917,1.1236
512.5,465.5,7.4907,1.1278
514,466,7.4902,1.1306
515.5,466.5,7.4893,1.1345
517,467,7.4883,1.1386
518.5,467.5,7.4877,1.1414
520,468,7.4867,1.1453
521.5,468.5,7.4858,1.1492
523,469,7.4848,1.1532
524.5,469.5,7.4841,1.1559
526,470,7.483,1.1602
527.5,470.5,7.4819,1.1645
529,471,7.4812,1.1673
530.5,471.5,7.4801,1.1712
532,472,7.479,1.1753
533.5,472.5,7.4779,1.1794
535,473,7.4771,1.1822
536.5,473.5,7.4759,1.1864
538,474,7.4747,1.1907
539.5,474.5,7.4739,1.1937
541,475,7.4726,1.1984
542.5,475.5,7.4713,1.2031
544,476,7.4699,1.2076
545.5,476.5,7.469,1.2106
547,477,7.4676,1.2152
548.5,477.5,7.4661,1.22
550,478,7.4652,1.2232
551.5,478.5,7.4638,1.2278
553,479,7.4624,1.2325
554.5,479.5,7.4609,1.2371
556,480,7.46,1.2402
557.5,480.5,7.4584,1.245
559,481,7.4568,1.2496
560.5,481.5,7.4552,1.2541
562,482,7.4541,1.2574
563.5,482.5,7.4524,1.2624
565,483,7.4507,1.2675
566.5,483.5,7.449,1.2727
568,484,7.4477,1.2759
569.5,484.5,7.446,1.2811
571,485,7.4441,1.2862
572.5,485.5,7.4428,1.2896
574,486,7.441,1.2945
575.5,486.5,7.4391,1.2991
577,487,7.4372,1.3036
578.5,487.5,7.4359,1.3066
580,488,7.434,1.3115
581.5,488.5,7.4319,1.3167
583,489,7.4299,1.3217
584.5,489.5,7.4285,1.325
586,490,7.4265,1.3296
587.5,490.5,7.4243,1.334
589,491,7.4229,1.3371
590.5,491.5,7.4207,1.3419
592,492,7.4186,1.3467
593.5,492.5,7.4163,1.3518
595,493,7.4149,1.3551
596.5,493.5,7.4126,1.3601
598,494,7.4103,1.3648
599.5,494.5,7.4079,1.369
601,495,7.4063,1.3722
602.5,495.5,7.4039,1.3757
604,496,7.4016,1.3795
605.5,496.5,7.3999,1.3824
607,497,7.3975,1.386
608.5,497.5,7.3951,1.3905
610,498,7.3934,1.3933
611.5,498.5,7.3909,1.3971
613,499,7.3883,1.4013
614.5,499.5,7.3857,1.4054
616,500,7.3839,1.4082
617.5,500.5,7.3813,1.4123
619,501,7.3787,1.4163
620.5,501.5,7.377,1.419
622,502,7.3744,1.4236
623.5,502.5,7.3718,1.4269
625,503,7.37,1.4293
626.5,503.5,7.3673,1.4331
628,504,7.3647,1.4364
629.5,504.5,7.362,1.4395
631,505,7.3602,1.4414
632.5,505.5,7.3574,1.4456
634,506,7.3545,1.4491
635.5,506.5,7.3518,1.4523
637,507,7.3498,1.4543
638.5,507.5,7.347,1.4575
640,508,7.3441,1.461
641.5,508.5,7.3412,1.4639
643,509,7.3392,1.4662
644.5,509.5,7.3362,1.4702
646,510,7.3333,1.4735
647.5,510.5,7.3304,1.4763
649,511,7.3285,1.4788
650.5,511.5,7.3255,1.4817
652,512,7.3225,1.4839
653.5,512.5,7.3204,1.4858
655,513,7.3174,1.4884
656.5,513.5,7.3142,1.4913
658,514,7.3111,1.4951
659.5,514.5,7.3089,1.4967
661,515,7.3058,1.4994
662.5,515.5,7.3026,1.502
664,516,7.3005,1.5033
665.5,516.5,7.2972,1.5049
667,517,7.2939,1.5073
668.5,517.5,7.2906,1.51
670,518,7.2884,1.512
671.5,518.5,7.285,1.514
673,519,7.2815,1.5168
674.5,519.5,7.2791,1.5179
676,520,7.2755,1.5205
677.5,520.5,7.272,1.5231
679,521,7.2696,1.5248
680.5,521.5,7.266,1.5274
682,522,7.2625,1.5304
683.5,522.5,7.26,1.5323
685,523,7.2562,1.5349
686.5,523.5,7.2523,1.5372
688,524,7.2484,1.5399
689.5,524.5,7.2458,1.5416
691,525,7.2419,1.5436
692.5,525.5,7.2393,1.5457
694,526,7.2352,1.548
695.5,526.5,7.2311,1.5498
697,527,7.2283,1.5517
698.5,527.5,7.2242,1.5537
700,528,7.2199,1.5558
701.5,528.5,7.2156,1.5577
703,529,7.2127,1.5585
704.5,529.5,7.2083,1.5602
706,530,7.2038,1.5626
707.5,530.5,7.2008,1.5631
709,531,7.1962,1.5647
710.5,531.5,7.1916,1.5669
712,532,7.1885,1.568
713.5,532.5,7.1839,1.5697
715,533,7.1792,1.5715
716.5,533.5,7.1744,1.5734
718,534,7.1713,1.5746
719.5,534.5,7.1664,1.5767
721,535,7.1614,1.5789
722.5,535.5,7.1582,1.5807
724,536,7.1531,1.5834
725.5,536.5,7.1481,1.5858
727,537,7.1447,1.5873
728.5,537.5,7.1395,1.5891
730,538,7.1342,1.5917
731.5,538.5,7.1308,1.5934
733,539,7.1256,1.5962
734.5,539.5,7.1201,1.5987
736,540,7.1147,1.6009
737.5,540.5,7.111,1.6024
739,541,7.1054,1.6047
740.5,541.5,7.0998,1.6071
742,542,7.096,1.609
743.5,542.5,7.0903,1.612
745,543,7.0846,1.6151
746.5,543.5,7.0808,1.6175
748,544,7.0749,1.6209
749.5,544.5,7.0689,1.6245
751,545,7.0649,1.627
752.5,545.5,7.0588,1.6305
754,546,7.0525,1.6341
755.5,546.5,7.0484,1.6363
757,547,7.042,1.6399
758.5,547.5,7.0356,1.6435
760,548,7.0292,1.6477
761.5,548.5,7.0247,1.6508
763,549,7.0181,1.6549
764.5,549.5,7.0114,1.6589
766,550,7.0046,1.6626
767.5,550.5,7.0001,1.6651
769,551,6.9933,1.669
770.5,551.5,6.9863,1.673
772,552,6.9791,1.677
773.5,552.5,6.9743,1.6797
775,553,6.967,1.6839
776.5,553.5,6.9597,1.688
778,554,6.9547,1.6907
779.5,554.5,6.9473,1.6948
781,555,6.9397,1.6986
782.5,555.5,6.9347,1.7011
784,556,6.9269,1.7048
785.5,556.5,6.919,1.7085
787,557,6.9111,1.7125
788.5,557.5,6.9057,1.715
790,558,6.8977,1.7189
791.5,558.5,6.8895,1.7226
793,559,6.8839,1.7253
794.5,559.5,6.8756,1.7295
796,560,6.867,1.7337
797.5,560.5,6.8613,1.7366
799,561,6.8526,1.7408
800.5,561.5,6.8438,1.745
802,562,6.8379,1.7478
803.5,562.5,6.8288,1.7523
805,563,6.8197,1.7566
806.5,563.5,6.8137,1.7592
808,564,6.8044,1.7629
809.5,564.5,6.795,1.7666
811,565,6.7887,1.7693
812.5,565.5,6.7791,1.7735
814,566,6.7695,1.7778
815.5,566.5,6.7598,1.782
817,567,6.7533,1.7845
818.5,567.5,6.7434,1.788
820,568,6.7334,1.7912
821.5,568.5,6.7268,1.7934
823,569,6.7166,1.7968
824.5,569.5,6.7063,1.8
826,570,6.6994,1.8021
827.5,570.5,6.6888,1.8051
829,571,6.6783,1.8081
830.5,571.5,6.6711,1.8104
832,572,6.6603,1.8138
833.5,572.5,6.6493,1.817
835,573,6.6383,1.8202
836.5,573.5,6.631,1.8219
838,574,6.6198,1.8245
839.5,574.5,6.6084,1.8274
841,575,6.6009,1.8293
842.5,575.5,6.5894,1.8323
844,576,6.5778,1.8353
845.5,576.5,6.566,1.8381
847,577,6.558,1.8399
848.5,577.5,6.546,1.8425
850,578,6.5338,1.8449
851.5,578.5,6.5257,1.8465
853,579,6.5132,1.8494
854.5,579.5,6.5008,1.8523
856,580,6.4883,1.8553
857.5,580.5,6.4798,1.8572
859,581,6.467,1.8596
860.5,581.5,6.4539,1.8623
862,582,6.4452,1.864
863.5,582.5,6.4321,1.8666
865,583,6.4188,1.8691
866.5,583.5,6.41,1.8707
868,584,6.3964,1.8731
869.5,584.5,6.3827,1.8756
871,585,6.3735,1.8772
872.5,585.5,6.3596,1.8796
874,586,6.3455,1.8819
875.5,586.5,6.3361,1.8832
877,587,6.3216,1.8854
878.5,587.5,6.3072,1.8874
880,588,6.2974,1.8886
881.5,588.5,6.2826,1.8902
883,589,6.2677,1.8922
884.5,589.5,6.2527,1.8945
886,590,6.2427,1.8962
887.5,590.5,6.2275,1.899
889,591,6.212,1.9018
890.5,591.5,6.2016,1.9035
892,592,6.1858,1.906
893.5,592.5,6.1699,1.9082
895,593,6.1539,1.9097
896.5,593.5,6.1432,1.9108
898,594,6.127,1.9125
899.5,594.5,6.1104,1.9139
901,595,6.0994,1.9152
902.5,595.5,6.0826,1.9173
904,596,6.0656,1.9197
905.5,596.5,6.0486,1.9222
907,597,6.037,1.9237
908.5,597.5,6.0196,1.9255
910,598,6.002,1.9266
911.5,598.5,5.9901,1.9273
913,599,5.9723,1.9279
914.5,599.5,5.9542,1.9287
916,600,5.9421,1.9295
917.5,600.5,5.9237,1.9309
919,601,5.9052,1.9322
920.5,601.5,5.8866,1.9332
922,602,5.8739,1.9339
923.5,602.5,5.8549,1.9353
925,603,5.8357,1.9369
926.5,603.5,5.8228,1.9378
928,604,5.8034,1.939
929.5,604.5,5.7838,1.9398
931,605,5.764,1.9407
932.5,605.5,5.7507,1.9411
934,606,5.7307,1.9416
935.5,606.5,5.7105,1.9423
937,607,5.697,1.9433
938.5,607.5,5.6764,1.9453
940,608,5.6558,1.9478
941.5,608.5,5.6418,1.9493
943,609,5.6209,1.951
944.5,609.5,5.5999,1.9525
946,610,5.5787,1.9539
947.5,610.5,5.5646,1.9548
949,611,5.5431,1.9559
950.5,611.5,5.5216,1.9568
952,612,5.5073,1.9575
953.5,612.5,5.4856,1.9585
955,613,5.4638,1.9596
956.5,613.5,5.4417,1.9603
958,614,5.427,1.9609
959.5,614.5,5.4049,1.9619
961,615,5.3828,1.9631
962.5,615.5,5.368,1.9638
964,616,5.3456,1.9646
965.5,616.5,5.323,1.9648
967,617,5.3006,1.9648
968.5,617.5,5.2854,1.9651
970,618,5.2629,1.9658
971.5,618.5,5.2402,1.9669
973,619,5.2174,1.9677
974.5,619.5,5.2022,1.968
976,620,5.1793,1.9685
977.5,620.5,5.1562,1.9689
979,621,5.1409,1.9694
980.5,621.5,5.1177,1.9703
982,622,5.0947,1.9708
983.5,622.5,5.0715,1.971
985,623,5.056,1.971
986.5,623.5,5.0328,1.9707
988,624,5.0093,1.9718
989.5,624.5,4.9859,1.9735
991,625,4.9626,1.9753
992.5,625.5,4.9468,1.9764
994,626,4.9234,1.9777
995.5,626.5,4.8997,1.9788
997,627,4.876,1.9803
998.5,627.5,4.8602,1.9812
1000,628,4.8364,1.9829
1001.5,628.5,4.8124,1.9854
1003,629,4.7884,1.9883
1004.5,629.5,4.7721,1.9905
1006,630,4.7479,1.9939
1007.5,630.5,4.7234,1.9971
1009,631,4.6987,2.0009
1010.5,631.5,4.6823,2.0033
1012,632,4.6575,2.0075
1013.5,632.5,4.6326,2.0125
1015,633,4.6159,2.0165
1016.5,633.5,4.5906,2.0234
1018,634,4.5653,2.0307
1019.5,634.5,4.5397,2.0373
1021,635,4.5139,2.0434
1022.5,635.5,4.4967,2.0475
1024,636,4.4705,2.0541
1025.5,636.5,4.4441,2.0615
1027,637,4.4263,2.0668
1028.5,637.5,4.3993,2.0753
1030,638,4.3722,2.0845
1031.5,638.5,4.3447,2.0938
1033,639,4.317,2.1044
1034.5,639.5,4.2985,2.1121
1036,640,4.2702,2.1244
1037.5,640.5,4.2417,2.1373
1039,641,4.2128,2.1499
1040.5,641.5,4.1835,2.1629
1042,642,4.1539,2.1767
1043.5,642.5,4.1339,2.1862
1045,643,4.1037,2.2011
1046.5,643.5,4.0731,2.2173
1048,644,4.0421,2.2339
1049.5,644.5,4.0107,2.251
1051,645,3.979,2.2678
1052.5,645.5,3.9575,2.2788
1054,646,3.9251,2.2962
1055.5,646.5,3.8922,2.313
1057,647,3.8588,2.3297
1058.5,647.5,3.8252,2.346
1060,648,3.791,2.3628
1061.5,648.5,3.7563,2.3807
1063,649,3.7331,2.3935
1064.5,649.5,3.6978,2.413
1066,650,3.6621,2.4321
1067.5,650.5,3.6262,2.4493
1069,651,3.5896,2.4642
1070.5,651.5,3.5503,2.4781
1072,652,3.5281,2.4856
1073.5,652.5,3.4905,2.4964
1075,653,3.453,2.5068
1076.5,653.5,3.4124,2.5176
1078,654,3.3765,2.5279
