Time (s),Mass (g),HRR (kW/m²)
1300,14.88,40.46
1305,14.87,39.38
1310,14.77,38.51
1315,25.11,110.70
1320,24.71,106.22
1325,24.52,103.20
1330,24.29,104.02
1335,24.00,98.32
1340,23.71,94.45
1345,23.49,92.19
1350,23.30,90.62
1355,23.10,86.32
1360,22.90,86.58
1365,22.70,84.68
1370,22.40,82.74
1375,22.30,83.35
1380,22.20,80.73
1385,21.90,74.81
1390,21.82,71.11
1395,21.69,67.22
1400,21.58,65.70
1405,21.40,64.80
1410,21.29,64.37
1415,21.11,62.96
1420,21.10,61.68
1425,20.99,58.45
1430,20.87,55.14
1435,20.71,52.45
1440,20.69,49.77
1445,20.60,48.84
1450,20.59,48.09
1455,20.50,45.99
1460,20.40,45.21
1465,20.22,43.96
1470,20.19,44.88
1475,20.23,47.46
1480,20.09,44.69
1485,20.00,44.44
1490,19.90,45.38
1495,19.90,45.36
1500,19.79,43.49
1505,19.79,43.64
1510,19.70,42.92
1515,19.59,42.72
1520,19.58,43.36
1525,19.49,43.32
1530,19.39,42.49
1535,19.31,43.40
1540,19.30,41.60
1545,19.21,43.28
1550,19.18,42.79
1555,19.09,45.24
1560,18.99,45.23
1565,18.92,42.70
1570,18.90,42.84
1575,18.90,42.02
1580,18.79,43.67
1585,18.69,44.82
1590,18.70,45.14
1595,18.68,44.73
1600,18.60,44.03
1605,18.49,42.90
1610,18.39,42.90
